Hours Studied,Sleep Hours,Sample Question Papers Practiced,extra_yn,study_efficiency,practice_ratio,conditioned_study,focus_index,learning_engagement,balance_score,Performance Index
8,8,8,0,7.0,1.0,17.577796618689757,8.0,16.0,0.8888888888888888,52.0
9,9,6,0,9.777777777777779,0.6666666666666666,20.723265836946414,9.0,15.0,0.9,84.0
7,4,5,0,14.142857142857142,0.7142857142857143,8.317766166719343,7.0,12.0,0.5,89.0
6,4,6,0,12.5,1.0,7.783640596221253,6.0,12.0,0.5714285714285714,63.0
3,4,2,1,21.666666666666668,0.6666666666666666,5.545177444479562,1.5,4.5,2.0,43.0
2,6,3,1,34.0,1.5,6.591673732008658,1.0,4.5,4.0,47.0
6,4,4,0,16.333333333333332,0.6666666666666666,7.783640596221253,6.0,10.0,0.5714285714285714,84.0
3,8,6,0,29.333333333333332,2.0,11.090354888959125,3.0,9.0,2.0,67.0
1,4,0,1,45.0,0.0,2.772588722239781,0.5,0.5,4.0,20.0
5,5,3,1,9.6,0.6,8.958797346140274,2.5,7.5,1.6666666666666667,31.0
3,6,5,1,32.333333333333336,1.6666666666666667,8.317766166719343,1.5,7.5,3.0,78.0
1,9,6,0,59.0,6.0,6.238324625039508,1.0,7.0,4.5,34.0
5,9,5,1,18.2,1.0,16.125835223052494,2.5,9.5,3.0,78.0
9,4,1,0,6.222222222222222,0.1111111111111111,9.210340371976184,9.0,10.0,0.4,54.0
1,7,9,1,48.0,9.0,4.852030263919617,0.5,9.5,7.0,19.0
9,6,7,0,7.111111111111111,0.7777777777777778,13.815510557964275,9.0,16.0,0.6,56.0
8,6,0,1,6.25,0.0,13.183347464017316,4.0,7.5,1.3333333333333333,42.0
4,8,8,0,24.75,2.0,12.875503299472802,4.0,12.0,1.6,81.0
1,7,7,0,93.0,7.0,4.852030263919617,1.0,8.0,3.5,68.0
7,5,3,0,7.571428571428571,0.42857142857142855,10.39720770839918,7.0,10.0,0.625,40.0
2,4,5,1,23.0,2.5,4.394449154672439,1.0,6.5,2.6666666666666665,23.0
1,5,9,0,64.0,9.0,3.4657359027997265,1.0,10.0,2.5,38.0
7,5,4,0,11.285714285714286,0.5714285714285714,10.39720770839918,7.0,11.0,0.625,69.0
3,5,5,1,14.0,1.6666666666666667,6.931471805599453,1.5,7.5,2.5,20.0
8,8,1,0,12.125,0.125,17.577796618689757,8.0,9.0,0.8888888888888888,91.0
2,5,2,1,45.5,1.0,5.493061443340549,1.0,3.5,3.3333333333333335,66.0
8,5,2,1,9.375,0.25,10.986122886681098,4.0,9.5,1.1111111111111112,69.0
5,5,9,0,15.6,1.8,8.958797346140274,5.0,14.0,0.8333333333333334,66.0
6,4,6,1,7.833333333333333,1.0,7.783640596221253,3.0,11.5,1.1428571428571428,35.0
4,7,0,1,21.75,0.0,11.266065387038703,2.0,3.5,2.8,73.0
1,7,2,0,64.0,2.0,4.852030263919617,1.0,3.0,3.5,37.0
7,8,8,0,12.571428571428571,1.1428571428571428,16.635532333438686,7.0,15.0,1.0,79.0
1,5,0,1,84.0,0.0,3.4657359027997265,0.5,0.5,5.0,56.0
7,7,3,1,10.285714285714286,0.42857142857142855,14.55609079175885,3.5,9.5,1.75,63.0
3,4,4,1,31.666666666666668,1.3333333333333333,5.545177444479562,1.5,6.5,2.0,78.0
8,4,4,1,5.625,0.5,8.788898309344878,4.0,11.5,0.8888888888888888,36.0
1,7,3,0,82.0,3.0,4.852030263919617,1.0,4.0,3.5,55.0
8,8,7,0,10.0,0.875,17.577796618689757,8.0,15.0,0.8888888888888888,77.0
1,5,0,0,57.0,0.0,3.4657359027997265,1.0,1.0,2.5,30.0
5,5,3,1,14.0,0.6,8.958797346140274,2.5,7.5,1.6666666666666667,53.0
5,6,1,1,15.6,0.2,10.75055681536833,2.5,5.5,2.0,65.0
5,9,6,0,17.8,1.2,16.125835223052494,5.0,11.0,1.5,75.0
9,5,1,0,5.888888888888889,0.1111111111111111,11.51292546497023,9.0,10.0,0.5,48.0
7,6,1,0,11.0,0.14285714285714285,12.476649250079014,7.0,8.0,0.75,68.0
3,9,7,0,20.333333333333332,2.3333333333333335,12.476649250079015,3.0,10.0,2.25,41.0
9,9,0,0,8.11111111111111,0.0,20.723265836946414,9.0,9.0,0.9,68.0
2,9,4,1,29.5,2.0,9.887510598012987,1.0,5.5,6.0,33.0
2,9,8,0,20.0,4.0,9.887510598012987,2.0,10.0,3.0,18.0
9,8,1,0,6.555555555555555,0.1111111111111111,18.420680743952367,9.0,10.0,0.8,57.0
1,5,7,0,81.0,7.0,3.4657359027997265,1.0,8.0,2.5,55.0
8,9,1,1,9.75,0.125,19.775021196025975,4.0,8.5,2.0,72.0
1,4,6,1,65.0,6.0,2.772588722239781,0.5,6.5,4.0,42.0
5,9,7,1,11.0,1.4,16.125835223052494,2.5,11.5,3.0,42.0
1,6,9,0,89.0,9.0,4.1588830833596715,1.0,10.0,3.0,66.0
6,7,9,0,16.166666666666668,1.5,13.621371043387192,6.0,15.0,1.0,85.0
2,7,8,0,44.0,4.0,7.690286020676768,2.0,10.0,2.3333333333333335,70.0
7,5,3,0,13.714285714285714,0.42857142857142855,10.39720770839918,7.0,10.0,0.625,82.0
3,7,8,0,21.0,2.6666666666666665,9.704060527839234,3.0,11.0,1.75,43.0
7,9,8,0,12.857142857142858,1.1428571428571428,18.71497387511852,7.0,15.0,1.125,82.0
3,7,4,1,16.0,1.3333333333333333,9.704060527839234,1.5,6.5,3.5,26.0
2,7,6,1,42.0,3.0,7.690286020676768,1.0,7.5,4.666666666666667,65.0
2,5,4,0,26.0,2.0,5.493061443340549,2.0,6.0,1.6666666666666667,24.0
5,5,5,1,18.2,1.0,8.958797346140274,2.5,9.5,1.6666666666666667,76.0
4,6,0,0,11.75,0.0,9.656627474604601,4.0,4.0,1.2,29.0
9,9,5,0,7.0,0.5555555555555556,20.723265836946414,9.0,14.0,0.9,64.0
9,7,6,1,8.222222222222221,0.6666666666666666,16.11809565095832,4.5,14.5,1.4,72.0
8,9,6,0,9.25,0.75,19.775021196025975,8.0,14.0,1.0,68.0
4,4,3,1,17.5,0.75,6.437751649736401,2.0,6.5,1.6,51.0
6,8,8,1,9.0,1.3333333333333333,15.567281192442506,3.0,13.5,2.2857142857142856,44.0
2,9,9,1,35.0,4.5,9.887510598012987,1.0,10.5,6.0,48.0
9,6,9,1,10.555555555555555,1.0,13.815510557964275,4.5,17.5,1.2,95.0
8,8,1,0,11.875,0.125,17.577796618689757,8.0,9.0,0.8888888888888888,94.0
5,7,0,1,10.2,0.0,12.542316284596385,2.5,4.5,2.3333333333333335,37.0
7,8,3,0,9.714285714285714,0.42857142857142855,16.635532333438686,7.0,10.0,1.0,61.0
3,7,1,1,30.0,0.3333333333333333,9.704060527839234,1.5,3.5,3.5,68.0
8,8,8,0,11.625,1.0,17.577796618689757,8.0,16.0,0.8888888888888888,91.0
4,8,3,0,22.5,0.75,12.875503299472802,4.0,7.0,1.6,69.0
7,8,4,0,13.285714285714286,0.5714285714285714,16.635532333438686,7.0,11.0,1.0,85.0
8,4,3,1,7.25,0.375,8.788898309344878,4.0,10.5,0.8888888888888888,53.0
2,4,0,0,40.0,0.0,4.394449154672439,2.0,2.0,1.3333333333333333,52.0
4,8,4,0,20.75,1.0,12.875503299472802,4.0,8.0,1.6,65.0
5,6,1,1,17.4,0.2,10.75055681536833,2.5,5.5,2.0,72.0
5,4,2,0,13.6,0.4,7.16703787691222,5.0,7.0,0.6666666666666666,52.0
6,4,5,0,15.833333333333334,0.8333333333333334,7.783640596221253,6.0,11.0,0.5714285714285714,85.0
6,4,6,0,14.666666666666666,1.0,7.783640596221253,6.0,12.0,0.5714285714285714,75.0
5,9,7,1,10.0,1.4,16.125835223052494,2.5,11.5,3.0,40.0
4,6,9,1,19.75,2.25,9.656627474604601,2.0,12.5,2.4,65.0
9,6,2,0,4.555555555555555,0.2222222222222222,13.815510557964275,9.0,11.0,0.6,36.0
5,6,7,1,19.6,1.4,10.75055681536833,2.5,11.5,2.0,80.0
9,6,9,0,7.333333333333333,1.0,13.815510557964275,9.0,18.0,0.6,63.0
1,9,4,1,76.0,4.0,6.238324625039508,0.5,4.5,9.0,56.0
8,8,8,0,10.375,1.0,17.577796618689757,8.0,16.0,0.8888888888888888,77.0
7,9,6,0,8.428571428571429,0.8571428571428571,18.71497387511852,7.0,13.0,1.125,52.0
2,7,7,1,41.0,3.5,7.690286020676768,1.0,8.5,4.666666666666667,61.0
2,6,0,1,21.0,0.0,6.591673732008658,1.0,1.5,4.0,17.0
6,4,2,0,13.5,0.3333333333333333,7.783640596221253,6.0,8.0,0.5714285714285714,68.0
4,8,8,0,20.5,2.0,12.875503299472802,4.0,12.0,1.6,64.0
4,9,5,1,17.75,1.25,14.484941211906902,2.0,8.5,3.6,55.0
4,9,9,0,24.25,2.25,14.484941211906902,4.0,13.0,1.8,83.0
9,7,3,1,9.0,0.3333333333333333,16.11809565095832,4.5,11.5,1.4,78.0
6,8,4,0,14.833333333333334,0.6666666666666666,15.567281192442506,6.0,10.0,1.1428571428571428,79.0
4,8,4,1,24.5,1.0,12.875503299472802,2.0,7.5,3.2,80.0
5,4,8,0,18.0,1.6,7.16703787691222,5.0,13.0,0.6666666666666666,75.0
6,7,9,0,10.5,1.5,13.621371043387192,6.0,15.0,1.0,48.0
3,4,0,1,14.666666666666666,0.0,5.545177444479562,1.5,2.5,2.0,23.0
4,5,3,1,18.0,0.75,8.047189562170502,2.0,6.5,2.0,56.0
6,7,3,0,9.0,0.5,13.621371043387192,6.0,9.0,1.0,41.0
8,4,6,0,6.75,0.75,8.788898309344878,8.0,14.0,0.4444444444444444,46.0
3,4,9,0,21.0,3.0,5.545177444479562,3.0,12.0,1.0,40.0
3,8,0,0,21.666666666666668,0.0,11.090354888959125,3.0,3.0,2.0,43.0
7,4,3,0,9.285714285714286,0.42857142857142855,8.317766166719343,7.0,10.0,0.5,55.0
6,6,9,1,13.333333333333334,1.5,11.675460894331879,3.0,14.5,1.7142857142857142,69.0
6,8,3,0,11.666666666666666,0.5,15.567281192442506,6.0,9.0,1.1428571428571428,63.0
7,4,8,0,11.428571428571429,1.1428571428571428,8.317766166719343,7.0,15.0,0.5,70.0
6,6,5,1,13.0,0.8333333333333334,11.675460894331879,3.0,10.5,1.7142857142857142,71.0
7,8,6,1,8.285714285714286,0.8571428571428571,16.635532333438686,3.5,12.5,2.0,49.0
3,7,7,1,14.333333333333334,2.3333333333333335,9.704060527839234,1.5,9.5,3.5,26.0
3,9,0,0,19.0,0.0,12.476649250079015,3.0,3.0,2.25,38.0
2,9,1,1,20.0,0.5,9.887510598012987,1.0,2.5,6.0,16.0
6,9,5,1,9.0,0.8333333333333334,17.51319134149782,3.0,10.5,2.5714285714285716,42.0
8,9,5,0,8.5,0.625,19.775021196025975,8.0,13.0,1.0,60.0
2,5,7,1,38.0,3.5,5.493061443340549,1.0,8.5,3.3333333333333335,53.0
7,9,8,0,12.571428571428571,1.1428571428571428,18.71497387511852,7.0,15.0,1.125,83.0
6,5,4,0,12.0,0.6666666666666666,9.729550745276565,6.0,10.0,0.7142857142857143,58.0
1,8,0,1,93.0,0.0,5.545177444479562,0.5,0.5,8.0,68.0
6,7,1,0,9.166666666666666,0.16666666666666666,13.621371043387192,6.0,7.0,1.0,41.0
2,8,0,0,42.0,0.0,8.788898309344878,2.0,2.0,2.6666666666666665,59.0
1,6,1,1,88.0,1.0,4.1588830833596715,0.5,1.5,6.0,63.0
1,4,2,0,93.0,2.0,2.772588722239781,1.0,3.0,2.0,65.0
2,5,8,0,39.5,4.0,5.493061443340549,2.0,10.0,1.6666666666666667,54.0
9,4,9,1,6.888888888888889,1.0,9.210340371976184,4.5,17.5,0.8,57.0
6,5,3,0,7.166666666666667,0.5,9.729550745276565,6.0,9.0,0.7142857142857143,32.0
7,5,4,0,9.857142857142858,0.5714285714285714,10.39720770839918,7.0,11.0,0.625,63.0
5,9,4,1,12.4,0.8,16.125835223052494,2.5,8.5,3.0,46.0
9,6,2,1,5.333333333333333,0.2222222222222222,13.815510557964275,4.5,10.5,1.2,48.0
9,9,7,0,5.888888888888889,0.7777777777777778,20.723265836946414,9.0,16.0,0.9,56.0
1,9,1,0,98.0,1.0,6.238324625039508,1.0,2.0,4.5,69.0
8,7,1,0,6.125,0.125,15.380572041353537,8.0,9.0,0.7777777777777778,43.0
4,5,0,0,18.75,0.0,8.047189562170502,4.0,4.0,1.0,56.0
8,6,7,0,9.625,0.875,13.183347464017316,8.0,15.0,0.6666666666666666,70.0
6,9,1,1,16.333333333333332,0.16666666666666666,17.51319134149782,3.0,6.5,2.5714285714285716,89.0
4,8,9,1,21.5,2.25,12.875503299472802,2.0,12.5,3.2,71.0
6,8,5,0,15.5,0.8333333333333334,15.567281192442506,6.0,11.0,1.1428571428571428,85.0
8,7,2,0,10.125,0.25,15.380572041353537,8.0,10.0,0.7777777777777778,72.0
9,9,8,1,9.555555555555555,0.8888888888888888,20.723265836946414,4.5,16.5,1.8,84.0
5,9,5,1,19.4,1.0,16.125835223052494,2.5,9.5,3.0,84.0
7,5,7,1,6.285714285714286,1.0,10.39720770839918,3.5,13.5,1.25,35.0
8,8,3,1,9.75,0.375,17.577796618689757,4.0,10.5,1.7777777777777777,72.0
9,8,4,0,7.777777777777778,0.4444444444444444,18.420680743952367,9.0,13.0,0.8,67.0
7,8,9,0,6.571428571428571,1.2857142857142858,16.635532333438686,7.0,16.0,1.0,38.0
7,7,1,1,5.714285714285714,0.14285714285714285,14.55609079175885,3.5,7.5,1.75,33.0
2,5,6,1,46.5,3.0,5.493061443340549,1.0,7.5,3.3333333333333335,71.0
5,7,0,1,11.0,0.0,12.542316284596385,2.5,4.5,2.3333333333333335,42.0
8,9,0,0,11.5,0.0,19.775021196025975,8.0,8.0,1.0,89.0
4,5,1,0,10.0,0.25,8.047189562170502,4.0,5.0,1.0,22.0
3,9,9,0,33.0,3.0,12.476649250079015,3.0,12.0,2.25,81.0
5,4,4,1,19.2,0.8,7.16703787691222,2.5,8.5,1.3333333333333333,81.0
2,8,9,0,36.5,4.5,8.788898309344878,2.0,11.0,2.6666666666666665,52.0
1,7,5,0,78.0,5.0,4.852030263919617,1.0,6.0,3.5,51.0
8,6,1,0,6.5,0.125,13.183347464017316,8.0,9.0,0.6666666666666666,44.0
4,6,7,1,14.25,1.75,9.656627474604601,2.0,10.5,2.4,40.0
3,8,6,0,22.0,2.0,11.090354888959125,3.0,9.0,2.0,45.0
5,7,4,0,12.4,0.8,12.542316284596385,5.0,9.0,1.1666666666666667,47.0
1,6,6,0,81.0,6.0,4.1588830833596715,1.0,7.0,3.0,55.0
7,6,8,1,11.285714285714286,1.1428571428571428,12.476649250079014,3.5,14.5,1.5,72.0
3,9,3,1,22.0,1.0,12.476649250079015,1.5,5.5,4.5,46.0
3,8,9,1,26.333333333333332,3.0,11.090354888959125,1.5,11.5,4.0,60.0
1,8,4,1,88.0,4.0,5.545177444479562,0.5,4.5,8.0,64.0
2,4,0,0,22.5,0.0,4.394449154672439,2.0,2.0,1.3333333333333333,20.0
7,8,8,0,10.857142857142858,1.1428571428571428,16.635532333438686,7.0,15.0,1.0,71.0
9,9,5,1,7.888888888888889,0.5555555555555556,20.723265836946414,4.5,13.5,1.8,71.0
5,8,0,0,14.0,0.0,14.33407575382444,5.0,5.0,1.3333333333333333,56.0
5,7,9,0,17.8,1.8,12.542316284596385,5.0,14.0,1.1666666666666667,76.0
3,4,4,0,16.333333333333332,1.3333333333333333,5.545177444479562,3.0,7.0,1.0,26.0
2,5,3,0,46.5,1.5,5.493061443340549,2.0,5.0,1.6666666666666667,68.0
9,9,0,1,9.555555555555555,0.0,20.723265836946414,4.5,8.5,1.8,87.0
8,6,4,1,7.375,0.5,13.183347464017316,4.0,11.5,1.3333333333333333,55.0
1,8,0,1,97.0,0.0,5.545177444479562,0.5,0.5,8.0,71.0
2,7,4,1,26.5,2.0,7.690286020676768,1.0,5.5,4.666666666666667,26.0
5,4,9,1,18.4,1.8,7.16703787691222,2.5,13.5,1.3333333333333333,79.0
7,9,3,0,10.428571428571429,0.42857142857142855,18.71497387511852,7.0,10.0,1.125,63.0
2,4,4,1,29.0,2.0,4.394449154672439,1.0,5.5,2.6666666666666665,35.0
6,4,0,0,14.166666666666666,0.0,7.783640596221253,6.0,6.0,0.5714285714285714,66.0
9,9,1,0,6.555555555555555,0.1111111111111111,20.723265836946414,9.0,10.0,0.9,55.0
7,8,6,0,11.428571428571429,0.8571428571428571,16.635532333438686,7.0,13.0,1.0,74.0
6,7,5,1,13.5,0.8333333333333334,13.621371043387192,3.0,10.5,2.0,72.0
9,5,9,0,10.88888888888889,1.0,11.51292546497023,9.0,18.0,0.5,93.0
5,5,7,1,10.2,1.4,8.958797346140274,2.5,11.5,1.6666666666666667,38.0
8,7,4,0,9.375,0.5,15.380572041353537,8.0,12.0,0.7777777777777778,68.0
7,6,9,0,11.571428571428571,1.2857142857142858,12.476649250079014,7.0,16.0,0.75,72.0
6,9,9,1,14.833333333333334,1.5,17.51319134149782,3.0,14.5,2.5714285714285716,80.0
4,4,4,1,21.5,1.0,6.437751649736401,2.0,7.5,1.6,68.0
5,8,4,0,16.8,0.8,14.33407575382444,5.0,9.0,1.3333333333333333,69.0
7,7,4,0,6.571428571428571,0.5714285714285714,14.55609079175885,7.0,11.0,0.875,36.0
9,8,3,1,7.333333333333333,0.3333333333333333,18.420680743952367,4.5,11.5,1.6,65.0
3,5,7,0,32.333333333333336,2.3333333333333335,6.931471805599453,3.0,10.0,1.25,77.0
4,5,5,0,13.0,1.25,8.047189562170502,4.0,9.0,1.0,31.0
1,5,0,0,55.0,0.0,3.4657359027997265,1.0,1.0,2.5,31.0
9,5,5,1,7.0,0.5555555555555556,11.51292546497023,4.5,13.5,1.0,58.0
1,8,0,0,77.0,0.0,5.545177444479562,1.0,1.0,4.0,49.0
5,8,9,1,8.4,1.8,14.33407575382444,2.5,13.5,2.6666666666666665,29.0
8,4,2,1,9.0,0.25,8.788898309344878,4.0,9.5,0.8888888888888888,65.0
4,9,3,0,14.0,0.75,14.484941211906902,4.0,7.0,1.8,40.0
2,8,0,0,42.0,0.0,8.788898309344878,2.0,2.0,2.6666666666666665,62.0
1,8,5,0,78.0,5.0,5.545177444479562,1.0,6.0,4.0,54.0
1,9,9,0,62.0,9.0,6.238324625039508,1.0,10.0,4.5,36.0
8,8,2,0,8.625,0.25,17.577796618689757,8.0,10.0,0.8888888888888888,65.0
4,8,9,0,18.5,2.25,12.875503299472802,4.0,13.0,1.6,56.0
3,9,5,1,28.666666666666668,1.6666666666666667,12.476649250079015,1.5,7.5,4.5,69.0
7,9,0,1,5.857142857142857,0.0,18.71497387511852,3.5,6.5,2.25,32.0
1,8,9,0,69.0,9.0,5.545177444479562,1.0,10.0,4.0,43.0
6,7,2,0,14.166666666666666,0.3333333333333333,13.621371043387192,6.0,8.0,1.0,72.0
4,6,2,1,23.75,0.5,9.656627474604601,2.0,5.5,2.4,77.0
3,6,9,1,25.666666666666668,3.0,8.317766166719343,1.5,11.5,3.0,56.0
7,5,6,0,7.714285714285714,0.8571428571428571,10.39720770839918,7.0,13.0,0.625,44.0
8,5,0,0,10.5,0.0,10.986122886681098,8.0,8.0,0.5555555555555556,77.0
2,5,9,0,47.5,4.5,5.493061443340549,2.0,11.0,1.6666666666666667,71.0
4,5,3,1,14.0,0.75,8.047189562170502,2.0,6.5,2.0,35.0
4,8,4,1,20.5,1.0,12.875503299472802,2.0,7.5,3.2,62.0
9,6,9,1,8.333333333333334,1.0,13.815510557964275,4.5,17.5,1.2,74.0
7,9,9,1,6.857142857142857,1.2857142857142858,18.71497387511852,3.5,15.5,2.25,44.0
8,7,1,1,5.625,0.125,15.380572041353537,4.0,8.5,1.5555555555555556,39.0
2,7,1,1,22.5,0.5,7.690286020676768,1.0,2.5,4.666666666666667,19.0
