Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,extra_yn,study_efficiency,practice_ratio,study_sleep_ratio,conditioned_study,focus_index,growth_potential,effort_result_ratio,learning_engagement,balance_score,prediction
4,73,Yes,7,0,1,18.25,0.0,0.5714285714285714,11.266065387038703,2.0,0.0547945205479452,18.25,3.5,2.8,50.69269
8,61,No,7,2,0,7.625,0.25,1.1428571428571428,15.380572041353537,8.0,0.13114754098360656,6.1,10.0,0.7777777777777778,62.59306
2,89,Yes,6,1,1,44.5,0.5,0.3333333333333333,6.591673732008657,1.0,0.02247191011235955,29.666666666666668,2.5,4.0,58.763256
6,81,No,9,9,0,13.5,1.5,0.6666666666666666,17.51319134149782,6.0,0.07407407407407407,5.4,15.0,1.2857142857142858,67.196915
6,62,Yes,9,0,1,10.333333333333334,0.0,0.6666666666666666,17.51319134149782,3.0,0.0967741935483871,10.333333333333334,5.5,2.5714285714285716,55.496403
2,54,Yes,9,5,1,27.0,2.5,0.2222222222222222,9.887510598012986,1.0,0.037037037037037035,7.714285714285714,6.5,6.0,27.65746
8,48,No,6,0,0,6.0,0.0,1.3333333333333333,13.183347464017316,8.0,0.16666666666666666,6.0,8.0,0.6666666666666666,56.180996
9,97,Yes,8,5,1,10.777777777777779,0.5555555555555556,1.125,18.420680743952367,4.5,0.09278350515463918,6.928571428571429,13.5,1.6,73.1471
1,87,Yes,8,8,1,87.0,8.0,0.125,5.545177444479562,0.5,0.011494252873563218,9.666666666666666,8.5,8.0,49.304523
7,61,Yes,4,7,1,8.714285714285714,1.0,1.75,8.317766166719343,3.5,0.11475409836065574,4.357142857142857,13.5,1.0,59.989063
8,62,Yes,4,2,1,7.75,0.25,2.0,8.788898309344878,4.0,0.12903225806451613,6.2,9.5,0.8888888888888888,57.563175
8,68,No,7,3,0,8.5,0.375,1.1428571428571428,15.380572041353537,8.0,0.11764705882352941,6.181818181818182,11.0,0.7777777777777778,64.55968
3,54,Yes,5,0,1,18.0,0.0,0.6,6.931471805599453,1.5,0.05555555555555555,18.0,2.5,2.5,43.959507
3,69,No,4,7,0,23.0,2.3333333333333335,0.75,5.545177444479562,3.0,0.043478260869565216,6.9,10.0,1.0,39.95615
7,80,No,8,3,0,11.428571428571429,0.42857142857142855,0.875,16.635532333438686,7.0,0.0875,8.0,10.0,1.0,64.16524
9,99,No,4,1,0,11.0,0.1111111111111111,2.25,9.210340371976184,9.0,0.09090909090909091,9.9,10.0,0.4,63.14683
8,61,Yes,6,9,1,7.625,1.125,1.3333333333333333,13.183347464017316,4.0,0.13114754098360656,3.588235294117647,16.5,1.3333333333333333,67.0075
3,48,No,7,5,0,16.0,1.6666666666666667,0.42857142857142855,9.704060527839234,3.0,0.0625,6.0,8.0,1.75,36.189457
8,64,No,5,1,0,8.0,0.125,1.6,10.986122886681098,8.0,0.125,7.111111111111111,9.0,0.5555555555555556,56.782673
7,53,No,5,9,0,7.571428571428571,1.2857142857142858,1.4,10.39720770839918,7.0,0.1320754716981132,3.3125,16.0,0.625,57.83128
7,89,No,8,1,0,12.714285714285714,0.14285714285714285,0.875,16.635532333438686,7.0,0.07865168539325842,11.125,8.0,1.0,63.75297
5,40,No,4,9,0,8.0,1.8,1.25,7.16703787691222,5.0,0.125,2.857142857142857,14.0,0.6666666666666666,41.871944
7,68,No,4,8,0,9.714285714285714,1.1428571428571428,1.75,8.317766166719343,7.0,0.10294117647058823,4.533333333333333,15.0,0.5,56.77235
3,67,No,9,8,0,22.333333333333332,2.6666666666666665,0.3333333333333333,12.476649250079015,3.0,0.04477611940298507,6.090909090909091,11.0,2.25,46.702927
4,56,No,4,7,0,14.0,1.75,1.0,6.437751649736401,4.0,0.07142857142857142,5.090909090909091,11.0,0.8,39.342434
7,91,Yes,6,3,1,13.0,0.42857142857142855,1.1666666666666667,12.476649250079014,3.5,0.07692307692307693,9.1,9.5,1.5,63.200314
9,89,Yes,5,3,1,9.88888888888889,0.3333333333333333,1.8,11.51292546497023,4.5,0.10112359550561797,7.416666666666667,11.5,1.0,65.50798
4,54,No,7,5,0,13.5,1.25,0.5714285714285714,11.266065387038703,4.0,0.07407407407407407,6.0,9.0,1.4,43.53203
7,96,No,5,3,0,13.714285714285714,0.42857142857142855,1.4,10.39720770839918,7.0,0.07291666666666667,9.6,10.0,0.625,59.14046
8,96,No,8,9,0,12.0,1.125,1.0,17.577796618689757,8.0,0.08333333333333333,5.647058823529412,17.0,0.8888888888888888,77.02819
6,59,Yes,4,9,1,9.833333333333334,1.5,1.5,7.783640596221253,3.0,0.1016949152542373,3.933333333333333,14.5,1.1428571428571428,58.78847
8,48,No,5,4,0,6.0,0.5,1.6,10.986122886681098,8.0,0.16666666666666666,4.0,12.0,0.5555555555555556,57.53082
1,72,No,7,0,0,72.0,0.0,0.14285714285714285,4.852030263919617,1.0,0.013888888888888888,72.0,1.0,3.5,69.40451
4,77,Yes,8,6,1,19.25,1.5,0.5,12.875503299472802,2.0,0.05194805194805195,7.7,9.5,3.2,54.40976
2,53,Yes,8,9,1,26.5,4.5,0.25,8.788898309344876,1.0,0.03773584905660377,4.818181818181818,10.5,5.333333333333333,28.448963
3,56,No,5,7,0,18.666666666666668,2.3333333333333335,0.6,6.931471805599453,3.0,0.05357142857142857,5.6,10.0,1.25,36.591553
1,96,No,8,6,0,96.0,6.0,0.125,5.545177444479562,1.0,0.010416666666666666,13.714285714285714,7.0,4.0,80.52096
1,72,Yes,5,7,1,72.0,7.0,0.2,3.4657359027997265,0.5,0.013888888888888888,9.0,7.5,5.0,55.726604
8,40,Yes,7,7,1,5.0,0.875,1.1428571428571428,15.380572041353537,4.0,0.2,2.6666666666666665,14.5,1.5555555555555556,63.41946
2,45,Yes,4,3,1,22.5,1.5,0.5,4.394449154672438,1.0,0.044444444444444446,9.0,4.5,2.6666666666666665,39.792397
5,72,Yes,8,1,1,14.4,0.2,0.625,14.33407575382444,2.5,0.06944444444444445,12.0,5.5,2.6666666666666665,54.16874
1,69,Yes,9,8,1,69.0,8.0,0.1111111111111111,6.238324625039508,0.5,0.014492753623188406,7.666666666666667,8.5,9.0,22.35316
5,49,No,6,5,0,9.8,1.0,0.8333333333333334,10.75055681536833,5.0,0.10204081632653061,4.9,10.0,1.0,45.485867
7,58,Yes,6,2,1,8.285714285714286,0.2857142857142857,1.1666666666666667,12.476649250079014,3.5,0.1206896551724138,6.444444444444445,8.5,1.5,57.026913
8,62,No,6,8,0,7.75,1.0,1.3333333333333333,13.183347464017316,8.0,0.12903225806451613,3.875,16.0,0.6666666666666666,66.06606
1,43,No,6,4,0,43.0,4.0,0.16666666666666666,4.1588830833596715,1.0,0.023255813953488372,8.6,5.0,3.0,28.45649
8,58,No,5,1,0,7.25,0.125,1.6,10.986122886681098,8.0,0.13793103448275862,6.444444444444445,9.0,0.5555555555555556,55.947254
4,66,No,4,5,0,16.5,1.25,1.0,6.437751649736401,4.0,0.06060606060606061,7.333333333333333,9.0,0.8,41.11984
6,73,No,8,7,0,12.166666666666666,1.1666666666666667,0.75,15.567281192442506,6.0,0.0821917808219178,5.615384615384615,13.0,1.1428571428571428,61.66148
1,95,No,8,6,0,95.0,6.0,0.125,5.545177444479562,1.0,0.010526315789473684,13.571428571428571,7.0,4.0,79.40707
9,77,Yes,9,1,1,8.555555555555555,0.1111111111111111,1.0,20.723265836946414,4.5,0.11688311688311688,7.7,9.5,1.8,68.005745
6,46,Yes,9,7,1,7.666666666666667,1.1666666666666667,0.6666666666666666,17.51319134149782,3.0,0.13043478260869565,3.5384615384615383,12.5,2.5714285714285716,58.330433
3,65,No,4,4,0,21.666666666666668,1.3333333333333333,0.75,5.545177444479562,3.0,0.046153846153846156,9.285714285714286,7.0,1.0,37.93662
4,48,No,5,1,0,12.0,0.25,0.8,8.047189562170502,4.0,0.08333333333333333,9.6,5.0,1.0,36.010662
2,55,Yes,6,7,1,27.5,3.5,0.3333333333333333,6.591673732008657,1.0,0.03636363636363636,6.111111111111111,8.5,4.0,36.989372
8,93,No,7,2,0,11.625,0.25,1.1428571428571428,15.380572041353537,8.0,0.08602150537634409,9.3,10.0,0.7777777777777778,67.04859
7,49,Yes,7,3,1,7.0,0.42857142857142855,1.0,14.55609079175885,3.5,0.14285714285714285,4.9,9.5,1.75,57.580135
4,47,Yes,5,1,1,11.75,0.25,0.8,8.047189562170502,2.0,0.0851063829787234,9.4,4.5,2.0,44.79365
5,87,No,5,3,0,17.4,0.6,1.0,8.958797346140274,5.0,0.05747126436781609,10.875,8.0,0.8333333333333334,50.351013
8,65,No,6,5,0,8.125,0.625,1.3333333333333333,13.183347464017316,8.0,0.12307692307692308,5.0,13.0,0.6666666666666666,63.507847
3,54,Yes,6,3,1,18.0,1.0,0.5,8.317766166719343,1.5,0.05555555555555555,9.0,5.5,3.0,43.035202
6,77,No,6,8,0,12.833333333333334,1.3333333333333333,1.0,11.675460894331879,6.0,0.07792207792207792,5.5,14.0,0.8571428571428571,58.44955
3,62,Yes,9,0,1,20.666666666666668,0.0,0.3333333333333333,12.476649250079015,1.5,0.04838709677419355,20.666666666666668,2.5,4.5,41.09522
4,62,Yes,4,6,1,15.5,1.5,1.0,6.437751649736401,2.0,0.06451612903225806,6.2,9.5,1.6,51.907803
4,78,No,8,3,0,19.5,0.75,0.5,12.875503299472802,4.0,0.05128205128205128,11.142857142857142,7.0,1.6,51.125988
5,92,No,7,2,0,18.4,0.4,0.7142857142857143,12.542316284596385,5.0,0.05434782608695652,13.142857142857142,7.0,1.1666666666666667,55.17077
7,52,No,6,5,0,7.428571428571429,0.7142857142857143,1.1666666666666667,12.476649250079014,7.0,0.1346153846153846,4.333333333333333,12.0,0.75,56.5069
6,83,Yes,4,7,1,13.833333333333334,1.1666666666666667,1.5,7.783640596221253,3.0,0.07228915662650602,6.384615384615385,12.5,1.1428571428571428,61.58562
3,48,No,5,1,0,16.0,0.3333333333333333,0.6,6.931471805599453,3.0,0.0625,12.0,4.0,1.25,32.552483
2,66,Yes,6,3,1,33.0,1.5,0.3333333333333333,6.591673732008657,1.0,0.030303030303030304,13.2,4.5,4.0,45.00762
5,68,No,4,8,0,13.6,1.6,1.25,7.16703787691222,5.0,0.07352941176470588,5.230769230769231,13.0,0.6666666666666666,47.41071
1,76,No,8,5,0,76.0,5.0,0.125,5.545177444479562,1.0,0.013157894736842105,12.666666666666666,6.0,4.0,60.66943
3,90,Yes,7,7,1,30.0,2.3333333333333335,0.42857142857142855,9.704060527839234,1.5,0.03333333333333333,9.0,9.5,3.5,55.655666
3,46,Yes,4,2,1,15.333333333333334,0.6666666666666666,0.75,5.545177444479562,1.5,0.06521739130434782,9.2,4.5,2.0,42.804043
9,72,No,7,1,0,8.0,0.1111111111111111,1.2857142857142858,16.11809565095832,9.0,0.125,7.2,10.0,0.7,67.866806
5,77,No,7,4,0,15.4,0.8,0.7142857142857143,12.542316284596385,5.0,0.06493506493506493,8.555555555555555,9.0,1.1666666666666667,53.227074
4,89,Yes,7,8,1,22.25,2.0,0.5714285714285714,11.266065387038703,2.0,0.0449438202247191,7.416666666666667,11.5,2.8,59.177525
8,44,No,6,5,0,5.5,0.625,1.3333333333333333,13.183347464017316,8.0,0.18181818181818182,3.3846153846153846,13.0,0.6666666666666666,60.583897
2,99,Yes,9,5,1,49.5,2.5,0.2222222222222222,9.887510598012986,1.0,0.020202020202020204,14.142857142857142,6.5,6.0,52.71993
1,99,Yes,4,6,1,99.0,6.0,0.25,2.772588722239781,0.5,0.010101010101010102,14.142857142857142,6.5,4.0,95.12916
9,93,No,7,5,0,10.333333333333334,0.5555555555555556,1.2857142857142858,16.11809565095832,9.0,0.0967741935483871,6.642857142857143,14.0,0.7,74.65079
8,91,No,5,8,0,11.375,1.0,1.6,10.986122886681098,8.0,0.08791208791208792,5.6875,16.0,0.5555555555555556,67.48585
9,96,Yes,4,3,1,10.666666666666666,0.3333333333333333,2.25,9.210340371976184,4.5,0.09375,8.0,11.5,0.8,64.855484
1,61,No,8,3,0,61.0,3.0,0.125,5.545177444479562,1.0,0.01639344262295082,15.25,4.0,4.0,48.81356
3,73,Yes,5,0,1,24.333333333333332,0.0,0.6,6.931471805599453,1.5,0.0410958904109589,24.333333333333332,2.5,2.5,51.014133
2,45,Yes,4,5,1,22.5,2.5,0.5,4.394449154672438,1.0,0.044444444444444446,6.428571428571429,6.5,2.6666666666666665,38.84646
4,41,Yes,8,2,1,10.25,0.5,0.5,12.875503299472802,2.0,0.0975609756097561,6.833333333333333,5.5,3.2,42.370132
5,44,No,6,0,0,8.8,0.0,0.8333333333333334,10.75055681536833,5.0,0.11363636363636363,8.8,5.0,1.0,40.877056
7,84,No,6,9,0,12.0,1.2857142857142858,1.1666666666666667,12.476649250079014,7.0,0.08333333333333333,5.25,16.0,0.75,65.28781
4,89,Yes,7,1,1,22.25,0.25,0.5714285714285714,11.266065387038703,2.0,0.0449438202247191,17.8,4.5,2.8,55.651905
7,51,Yes,6,7,1,7.285714285714286,1.0,1.1666666666666667,12.476649250079014,3.5,0.13725490196078433,3.642857142857143,13.5,1.5,60.524105
1,40,Yes,8,9,1,40.0,9.0,0.125,5.545177444479562,0.5,0.025,4.0,9.5,8.0,-5.4743776
5,83,No,5,0,0,16.6,0.0,1.0,8.958797346140274,5.0,0.060240963855421686,16.6,5.0,0.8333333333333334,47.362946
1,83,No,8,0,0,83.0,0.0,0.125,5.545177444479562,1.0,0.012048192771084338,83.0,1.0,4.0,80.59771
1,86,Yes,5,9,1,86.0,9.0,0.2,3.4657359027997265,0.5,0.011627906976744186,8.6,9.5,5.0,66.468605
2,41,No,8,8,0,20.5,4.0,0.25,8.788898309344876,2.0,0.04878048780487805,4.1,10.0,2.6666666666666665,26.216248
8,88,No,5,8,0,11.0,1.0,1.6,10.986122886681098,8.0,0.09090909090909091,5.5,16.0,0.5555555555555556,67.06814
6,77,No,6,4,0,12.833333333333334,0.6666666666666666,1.0,11.675460894331879,6.0,0.07792207792207792,7.7,10.0,0.8571428571428571,55.13275
5,87,Yes,9,2,1,17.4,0.4,0.5555555555555556,16.125835223052494,2.5,0.05747126436781609,12.428571428571429,6.5,3.0,58.464542
9,65,Yes,4,8,1,7.222222222222222,0.8888888888888888,2.25,9.210340371976184,4.5,0.13846153846153847,3.823529411764706,16.5,0.8,66.24989
1,94,Yes,9,3,1,94.0,3.0,0.1111111111111111,6.238324625039508,0.5,0.010638297872340425,23.5,3.5,9.0,62.331417
5,56,Yes,5,2,1,11.2,0.4,1.0,8.958797346140274,2.5,0.08928571428571429,8.0,6.5,1.6666666666666667,50.53783
1,99,Yes,4,6,1,99.0,6.0,0.25,2.772588722239781,0.5,0.010101010101010102,14.142857142857142,6.5,4.0,95.12916
5,62,Yes,7,2,1,12.4,0.4,0.7142857142857143,12.542316284596385,2.5,0.08064516129032258,8.857142857142858,6.5,2.3333333333333335,52.384785
7,85,No,9,8,0,12.142857142857142,1.1428571428571428,0.7777777777777778,18.71497387511852,7.0,0.08235294117647059,5.666666666666667,15.0,1.125,72.095535
3,82,No,6,2,0,27.333333333333332,0.6666666666666666,0.5,8.317766166719343,3.0,0.036585365853658534,16.4,5.0,1.5,46.81691
5,89,No,7,4,0,17.8,0.8,0.7142857142857143,12.542316284596385,5.0,0.056179775280898875,9.88888888888889,9.0,1.1666666666666667,55.900402
1,44,Yes,7,3,1,44.0,3.0,0.14285714285714285,4.852030263919617,0.5,0.022727272727272728,11.0,3.5,7.0,20.439846
3,89,No,8,7,0,29.666666666666668,2.3333333333333335,0.375,11.090354888959125,3.0,0.033707865168539325,8.9,10.0,2.0,53.23106
3,63,Yes,6,8,1,21.0,2.6666666666666665,0.5,8.317766166719343,1.5,0.047619047619047616,5.7272727272727275,10.5,3.0,47.26744
1,77,Yes,4,1,1,77.0,1.0,0.25,2.772588722239781,0.5,0.012987012987012988,38.5,1.5,4.0,82.75471
1,42,Yes,8,4,1,42.0,4.0,0.125,5.545177444479562,0.5,0.023809523809523808,8.4,4.5,8.0,8.884448
3,80,No,7,3,0,26.666666666666668,1.0,0.42857142857142855,9.704060527839234,3.0,0.0375,13.333333333333334,6.0,1.75,47.714687
8,88,No,9,2,0,11.0,0.25,0.8888888888888888,19.775021196025975,8.0,0.09090909090909091,8.8,10.0,1.0,71.58855
2,81,No,6,1,0,40.5,0.5,0.3333333333333333,6.591673732008657,2.0,0.024691358024691357,27.0,3.0,2.0,50.49625
9,50,Yes,9,9,1,5.555555555555555,1.0,1.0,20.723265836946414,4.5,0.18,2.7777777777777777,17.5,1.8,73.03391
5,81,No,6,5,0,16.2,1.0,0.8333333333333334,10.75055681536833,5.0,0.06172839506172839,8.1,10.0,1.0,52.614742
9,86,Yes,6,9,1,9.555555555555555,1.0,1.5,13.815510557964275,4.5,0.10465116279069768,4.777777777777778,17.5,1.2,72.93291
9,88,Yes,5,4,1,9.777777777777779,0.4444444444444444,1.8,11.51292546497023,4.5,0.10227272727272728,6.769230769230769,12.5,1.0,66.43045
3,76,Yes,5,9,1,25.333333333333332,3.0,0.6,6.931471805599453,1.5,0.039473684210526314,6.333333333333333,11.5,2.5,53.7311
7,79,Yes,9,4,1,11.285714285714286,0.5714285714285714,0.7777777777777778,18.71497387511852,3.5,0.08860759493670886,7.181818181818182,10.5,2.25,65.40245
1,99,No,7,5,0,99.0,5.0,0.14285714285714285,4.852030263919617,1.0,0.010101010101010102,16.5,6.0,3.5,87.3484
9,98,No,6,7,0,10.88888888888889,0.7777777777777778,1.5,13.815510557964275,9.0,0.09183673469387756,6.125,16.0,0.6,74.67485
4,40,Yes,6,5,1,10.0,1.25,0.6666666666666666,9.656627474604601,2.0,0.1,4.444444444444445,8.5,2.4,44.44019
3,75,Yes,5,8,1,25.0,2.6666666666666665,0.6,6.931471805599453,1.5,0.04,6.818181818181818,10.5,2.5,53.18166
9,44,No,5,1,0,4.888888888888889,0.1111111111111111,1.8,11.51292546497023,9.0,0.20454545454545456,4.4,10.0,0.5,59.02695
5,59,No,5,1,0,11.8,0.2,1.0,8.958797346140274,5.0,0.0847457627118644,9.833333333333334,6.0,0.8333333333333334,42.71527
3,76,Yes,5,6,1,25.333333333333332,2.0,0.6,6.931471805599453,1.5,0.039473684210526314,8.444444444444445,8.5,2.5,53.19672
4,87,Yes,5,1,1,21.75,0.25,0.8,8.047189562170502,2.0,0.04597701149425287,17.4,4.5,2.0,55.93252
5,40,Yes,7,8,1,8.0,1.6,0.7142857142857143,12.542316284596385,2.5,0.125,3.076923076923077,12.5,2.3333333333333335,51.6776
5,70,No,7,4,0,14.0,0.8,0.7142857142857143,12.542316284596385,5.0,0.07142857142857142,7.777777777777778,9.0,1.1666666666666667,51.667633
9,90,No,5,8,0,10.0,0.8888888888888888,1.8,11.51292546497023,9.0,0.1,5.294117647058823,17.0,0.5,72.04374
2,44,Yes,6,4,1,22.0,2.0,0.3333333333333333,6.591673732008657,1.0,0.045454545454545456,7.333333333333333,5.5,4.0,32.2819
6,40,Yes,4,0,1,6.666666666666667,0.0,1.5,7.783640596221253,3.0,0.15,6.666666666666667,5.5,1.1428571428571428,47.79836
3,64,Yes,9,1,1,21.333333333333332,0.3333333333333333,0.3333333333333333,12.476649250079015,1.5,0.046875,16.0,3.5,4.5,42.015934
1,43,Yes,7,4,1,43.0,4.0,0.14285714285714285,4.852030263919617,0.5,0.023255813953488372,8.6,4.5,7.0,16.89973
4,91,No,9,5,0,22.75,1.25,0.4444444444444444,14.484941211906902,4.0,0.04395604395604396,10.11111111111111,9.0,1.8,57.67139
4,45,No,6,8,0,11.25,2.0,0.6666666666666666,9.656627474604601,4.0,0.08888888888888889,3.75,12.0,1.2,40.618813
6,95,No,8,7,0,15.833333333333334,1.1666666666666667,0.75,15.567281192442506,6.0,0.06315789473684211,7.3076923076923075,13.0,1.1428571428571428,65.74572
7,85,Yes,9,4,1,12.142857142857142,0.5714285714285714,0.7777777777777778,18.71497387511852,3.5,0.08235294117647059,7.7272727272727275,10.5,2.25,66.35721
3,72,Yes,8,3,1,24.0,1.0,0.375,11.090354888959125,1.5,0.041666666666666664,12.0,5.5,4.0,46.801216
8,54,No,6,6,0,6.75,0.75,1.3333333333333333,13.183347464017316,8.0,0.14814814814814814,3.857142857142857,14.0,0.6666666666666666,62.968227
7,75,No,8,6,0,10.714285714285714,0.8571428571428571,0.875,16.635532333438686,7.0,0.09333333333333334,5.769230769230769,13.0,1.0,66.13624
1,53,Yes,8,5,1,53.0,5.0,0.125,5.545177444479562,0.5,0.018867924528301886,8.833333333333334,5.5,8.0,18.710987
3,95,Yes,4,2,1,31.666666666666668,0.6666666666666666,0.75,5.545177444479562,1.5,0.031578947368421054,19.0,4.5,2.0,60.99754
1,53,Yes,6,2,1,53.0,2.0,0.16666666666666666,4.1588830833596715,0.5,0.018867924528301886,17.666666666666668,2.5,6.0,39.792408
9,42,Yes,8,0,1,4.666666666666667,0.0,1.125,18.420680743952367,4.5,0.21428571428571427,4.666666666666667,8.5,1.6,61.108868
5,89,Yes,6,7,1,17.8,1.4,0.8333333333333334,10.75055681536833,2.5,0.056179775280898875,7.416666666666667,11.5,2.0,61.639538
5,61,No,8,1,0,12.2,0.2,0.625,14.33407575382444,5.0,0.08196721311475409,10.166666666666666,6.0,1.3333333333333333,49.768124
5,74,No,5,3,0,14.8,0.6,1.0,8.958797346140274,5.0,0.06756756756756757,9.25,8.0,0.8333333333333334,47.45491
4,80,No,5,5,0,20.0,1.25,0.8,8.047189562170502,4.0,0.05,8.88888888888889,9.0,1.0,46.936398
2,52,Yes,7,8,1,26.0,4.0,0.2857142857142857,7.690286020676767,1.0,0.038461538461538464,5.2,9.5,4.666666666666667,31.605278
9,74,Yes,8,6,1,8.222222222222221,0.6666666666666666,1.125,18.420680743952367,4.5,0.12162162162162163,4.933333333333334,14.5,1.6,71.34673
1,90,Yes,5,5,1,90.0,5.0,0.2,3.4657359027997265,0.5,0.011111111111111112,15.0,5.5,5.0,80.62899
1,71,No,7,9,0,71.0,9.0,0.14285714285714285,4.852030263919617,1.0,0.014084507042253521,7.1,10.0,3.5,46.454723
9,58,No,6,4,0,6.444444444444445,0.4444444444444444,1.5,13.815510557964275,9.0,0.15517241379310345,4.461538461538462,13.0,0.6,66.58555
8,93,Yes,6,2,1,11.625,0.25,1.3333333333333333,13.183347464017316,4.0,0.08602150537634409,9.3,9.5,1.3333333333333333,64.51923
9,52,No,4,5,0,5.777777777777778,0.5555555555555556,2.25,9.210340371976184,9.0,0.17307692307692307,3.7142857142857144,14.0,0.4,61.514782
9,64,No,6,1,0,7.111111111111111,0.1111111111111111,1.5,13.815510557964275,9.0,0.140625,6.4,10.0,0.6,64.18947
2,42,No,8,9,0,21.0,4.5,0.25,8.788898309344876,2.0,0.047619047619047616,3.8181818181818183,11.0,2.6666666666666665,26.300232
6,59,Yes,4,1,1,9.833333333333334,0.16666666666666666,1.5,7.783640596221253,3.0,0.1016949152542373,8.428571428571429,6.5,1.1428571428571428,52.154865
1,71,Yes,9,6,1,71.0,6.0,0.1111111111111111,6.238324625039508,0.5,0.014084507042253521,10.142857142857142,6.5,9.0,29.433346
5,87,No,9,7,0,17.4,1.4,0.5555555555555556,16.125835223052494,5.0,0.05747126436781609,7.25,12.0,1.5,61.95666
7,89,No,9,4,0,12.714285714285714,0.5714285714285714,0.7777777777777778,18.71497387511852,7.0,0.07865168539325842,8.090909090909092,11.0,1.125,69.04321
6,52,Yes,6,6,1,8.666666666666666,1.0,1.0,11.675460894331879,3.0,0.11538461538461539,4.333333333333333,11.5,1.7142857142857142,56.446857
3,67,Yes,8,6,1,22.333333333333332,2.0,0.375,11.090354888959125,1.5,0.04477611940298507,7.444444444444445,8.5,4.0,45.479088
5,60,No,9,0,0,12.0,0.0,0.5555555555555556,16.125835223052494,5.0,0.08333333333333333,12.0,5.0,1.5,51.048782
5,99,No,7,5,0,19.8,1.0,0.7142857142857143,12.542316284596385,5.0,0.050505050505050504,9.9,10.0,1.1666666666666667,58.827152
3,66,No,9,7,0,22.0,2.3333333333333335,0.3333333333333333,12.476649250079015,3.0,0.045454545454545456,6.6,10.0,2.25,46.15351
1,99,Yes,9,8,1,99.0,8.0,0.1111111111111111,6.238324625039508,0.5,0.010101010101010102,11.0,8.5,9.0,55.76977
1,99,Yes,9,3,1,99.0,3.0,0.1111111111111111,6.238324625039508,0.5,0.010101010101010102,24.75,3.5,9.0,67.90084
2,68,No,7,1,0,34.0,0.5,0.2857142857142857,7.690286020676767,2.0,0.029411764705882353,22.666666666666668,3.0,2.3333333333333335,43.91023
1,59,No,4,8,0,59.0,8.0,0.25,2.772588722239781,1.0,0.01694915254237288,6.555555555555555,9.0,2.0,38.692966
5,91,Yes,4,8,1,18.2,1.6,1.25,7.16703787691222,2.5,0.054945054945054944,7.0,12.5,1.3333333333333333,62.273785
7,54,Yes,4,5,1,7.714285714285714,0.7142857142857143,1.75,8.317766166719343,3.5,0.12962962962962962,4.5,11.5,1.0,57.03075
2,95,No,9,7,0,47.5,3.5,0.2222222222222222,9.887510598012986,2.0,0.021052631578947368,10.555555555555555,9.0,3.0,57.418438
3,56,Yes,7,6,1,18.666666666666668,2.0,0.42857142857142855,9.704060527839234,1.5,0.05357142857142857,6.222222222222222,8.5,3.5,42.85348
4,50,Yes,6,7,1,12.5,1.75,0.6666666666666666,9.656627474604601,2.0,0.08,4.545454545454546,10.5,2.4,48.232227
